cuisine,dish_name,ingredients,cooking_time_min,spice_level,calories
Lebanese,Injera,"Chickpeas, Olive Oil, Tahini",51,8,268
French,Baguette,"Spices, Meat, Vegetables",56,8,780
Vietnamese,Feijoada,"Broth, Rice Noodles, Beef",174,0,762
Moroccan,Dumpling,"Teff Flour, Vegetables, Lentils",31,5,682
Italian,Dumpling,"Chickpeas, Olive Oil, Tahini",116,6,614
Greek,Curry,"Tomatoes, Cheese, Olive Oil",36,2,413
French,Feijoada,"Chickpeas, Olive Oil, Tahini",50,6,131
Turkish,Baguette,"Corn, Meat, Chili",89,6,386
Vietnamese,Hummus,"Spices, Meat, Vegetables",171,1,693
Turkish,Paella,"Rice, Fish, Seaweed",169,6,142
Thai,Pad Thai,"Eggplant, Potatoes, Cheese",98,0,716
Vietnamese,Pizza,"Flour, Butter, Yeast",75,4,100
Thai,Dumpling,"Beans, Rice, Pork",21,8,672
Japanese,Pizza,"Beans, Rice, Pork",177,6,369
Spanish,Hummus,"Rice, Fish, Seaweed",82,6,279
Indian,Feijoada,"Rice, Saffron, Seafood",85,1,835
Turkish,Curry,"Spices, Meat, Vegetables",99,7,617
Indian,Injera,"Chickpeas, Olive Oil, Tahini",19,2,202
Italian,Dumpling,"Rice, Fish, Seaweed",105,7,109
Chinese,Moussaka,"Spices, Rice, Vegetables",29,2,682
Ethiopian,Feijoada,"Rice, Vegetables, Egg",48,9,189
Greek,Pad Thai,"Corn, Meat, Chili",69,6,325
Korean,Kebab,"Chickpeas, Olive Oil, Tahini",75,1,769
Moroccan,Pho,"Rice, Fish, Seaweed",74,3,839
Moroccan,Dumpling,"Rice, Fish, Seaweed",133,5,225
Moroccan,Baguette,"Corn, Meat, Chili",173,8,308
Chinese,Taco,"Rice, Vegetables, Egg",161,4,196
Ethiopian,Hummus,"Rice, Fish, Seaweed",164,8,173
Chinese,Moussaka,"Beans, Rice, Pork",139,4,726
Brazilian,Pho,"Corn, Meat, Chili",168,9,290
Mexican,Pad Thai,"Eggplant, Potatoes, Cheese",66,7,781
Thai,Pizza,"Broth, Rice Noodles, Beef",87,0,918
Mexican,Moussaka,"Tomatoes, Cheese, Olive Oil",38,6,815
Vietnamese,Baguette,"Spices, Rice, Vegetables",24,3,155
French,Pad Thai,"Spices, Rice, Vegetables",21,4,819
Japanese,Hummus,"Teff Flour, Vegetables, Lentils",110,5,652
Ethiopian,Sushi,"Corn, Meat, Chili",165,4,131
Turkish,Kebab,"Rice, Saffron, Seafood",93,0,626
French,Pad Thai,"Lamb, Spices, Yogurt",134,8,673
Moroccan,Sushi,"Broth, Rice Noodles, Beef",112,1,766
Chinese,Taco,"Eggplant, Potatoes, Cheese",33,8,383
Ethiopian,Feijoada,"Rice Noodles, Peanuts, Tofu",158,9,820
Vietnamese,Moussaka,"Tomatoes, Cheese, Olive Oil",147,1,931
Ethiopian,Paella,"Broth, Rice Noodles, Beef",119,8,593
French,Hummus,"Corn, Meat, Chili",87,5,286
Italian,Kebab,"Dough, Pork, Cabbage",110,8,597
Turkish,Pad Thai,"Flour, Butter, Yeast",155,5,541
Japanese,Feijoada,"Beans, Rice, Pork",151,5,229
Korean,Curry,"Eggplant, Potatoes, Cheese",171,1,738
Japanese,Feijoada,"Rice, Saffron, Seafood",137,7,391
Indian,Moussaka,"Rice, Saffron, Seafood",67,2,213
Greek,Pho,"Teff Flour, Vegetables, Lentils",85,6,298
French,Paella,"Corn, Meat, Chili",159,4,112
French,Injera,"Dough, Pork, Cabbage",45,2,370
Japanese,Pizza,"Tomatoes, Cheese, Olive Oil",173,0,700
Ethiopian,Injera,"Spices, Rice, Vegetables",31,7,314
Japanese,Bibimbap,"Spices, Meat, Vegetables",136,2,543
Turkish,Tagine,"Rice, Fish, Seaweed",89,1,889
Greek,Kebab,"Corn, Meat, Chili",109,0,611
Vietnamese,Sushi,"Eggplant, Potatoes, Cheese",105,3,546
Lebanese,Pho,"Rice Noodles, Peanuts, Tofu",170,7,814
Greek,Dumpling,"Corn, Meat, Chili",173,2,173
Italian,Moussaka,"Eggplant, Potatoes, Cheese",157,0,636
French,Taco,"Teff Flour, Vegetables, Lentils",27,3,200
Italian,Injera,"Dough, Pork, Cabbage",47,8,275
Indian,Tagine,"Rice, Saffron, Seafood",160,0,526
Indian,Paella,"Flour, Butter, Yeast",118,1,216
Lebanese,Sushi,"Rice, Saffron, Seafood",132,8,265
Indian,Baguette,"Rice, Vegetables, Egg",153,1,140
Spanish,Pho,"Flour, Butter, Yeast",158,2,528
French,Injera,"Tomatoes, Cheese, Olive Oil",113,6,443
Korean,Baguette,"Rice Noodles, Peanuts, Tofu",149,2,523
Brazilian,Sushi,"Broth, Rice Noodles, Beef",153,8,465
Ethiopian,Pho,"Beans, Rice, Pork",90,5,219
Mexican,Hummus,"Spices, Rice, Vegetables",96,2,708
Mexican,Hummus,"Rice, Saffron, Seafood",151,8,756
Korean,Moussaka,"Eggplant, Potatoes, Cheese",70,0,827
Italian,Pizza,"Rice, Vegetables, Egg",55,9,328
Vietnamese,Kebab,"Rice, Vegetables, Egg",41,2,924
Turkish,Bibimbap,"Beans, Rice, Pork",24,0,229
Indian,Tagine,"Chickpeas, Olive Oil, Tahini",53,1,451
Turkish,Curry,"Broth, Rice Noodles, Beef",154,7,988
Moroccan,Pizza,"Eggplant, Potatoes, Cheese",178,6,417
Turkish,Pad Thai,"Rice, Saffron, Seafood",63,1,748
Mexican,Tagine,"Broth, Rice Noodles, Beef",53,1,935
French,Tagine,"Flour, Butter, Yeast",107,8,436
Mexican,Curry,"Rice, Saffron, Seafood",14,5,372
Turkish,Injera,"Lamb, Spices, Yogurt",118,4,216
Korean,Pho,"Lamb, Spices, Yogurt",36,9,917
Brazilian,Sushi,"Dough, Pork, Cabbage",125,5,467
Moroccan,Curry,"Broth, Rice Noodles, Beef",96,8,193
Turkish,Injera,"Flour, Butter, Yeast",113,6,267
Italian,Tagine,"Eggplant, Potatoes, Cheese",132,9,814
Korean,Pad Thai,"Rice Noodles, Peanuts, Tofu",88,9,440
Turkish,Baguette,"Flour, Butter, Yeast",52,8,760
Turkish,Tagine,"Dough, Pork, Cabbage",106,3,794
Lebanese,Dumpling,"Corn, Meat, Chili",40,1,251
Mexican,Kebab,"Eggplant, Potatoes, Cheese",108,7,685
Mexican,Baguette,"Lamb, Spices, Yogurt",26,3,976
Italian,Hummus,"Spices, Rice, Vegetables",92,8,373
Spanish,Paella,"Tomatoes, Cheese, Olive Oil",119,3,653
Vietnamese,Taco,"Lamb, Spices, Yogurt",41,7,595
Vietnamese,Dumpling,"Corn, Meat, Chili",177,8,823
Korean,Hummus,"Rice Noodles, Peanuts, Tofu",150,8,200
Brazilian,Moussaka,"Tomatoes, Cheese, Olive Oil",44,9,656
Italian,Kebab,"Broth, Rice Noodles, Beef",142,3,181
Ethiopian,Sushi,"Teff Flour, Vegetables, Lentils",38,0,628
Spanish,Moussaka,"Dough, Pork, Cabbage",79,2,172
Vietnamese,Kebab,"Rice Noodles, Peanuts, Tofu",162,8,113
Thai,Curry,"Rice Noodles, Peanuts, Tofu",104,3,532
Vietnamese,Kebab,"Teff Flour, Vegetables, Lentils",31,4,256
Japanese,Curry,"Corn, Meat, Chili",78,6,834
Chinese,Pizza,"Corn, Meat, Chili",98,4,231
Mexican,Taco,"Tomatoes, Cheese, Olive Oil",81,3,437
Chinese,Baguette,"Teff Flour, Vegetables, Lentils",138,1,503
Japanese,Pizza,"Broth, Rice Noodles, Beef",96,1,475
Italian,Pizza,"Teff Flour, Vegetables, Lentils",105,3,987
Moroccan,Baguette,"Spices, Meat, Vegetables",84,9,658
Moroccan,Taco,"Rice, Vegetables, Egg",176,9,206
Greek,Kebab,"Rice, Saffron, Seafood",63,8,719
Lebanese,Injera,"Teff Flour, Vegetables, Lentils",97,7,364
Japanese,Tagine,"Dough, Pork, Cabbage",166,2,304
Japanese,Dumpling,"Chickpeas, Olive Oil, Tahini",63,8,178
Lebanese,Pho,"Rice, Fish, Seaweed",25,4,254
Moroccan,Dumpling,"Dough, Pork, Cabbage",108,2,882
Lebanese,Feijoada,"Spices, Rice, Vegetables",29,4,346
Indian,Tagine,"Eggplant, Potatoes, Cheese",55,9,630
Turkish,Pad Thai,"Lamb, Spices, Yogurt",136,3,957
Mexican,Sushi,"Dough, Pork, Cabbage",67,7,637
Spanish,Pad Thai,"Rice, Vegetables, Egg",120,4,828
Brazilian,Paella,"Rice Noodles, Peanuts, Tofu",138,9,253
Turkish,Pad Thai,"Rice, Vegetables, Egg",90,7,253
Ethiopian,Dumpling,"Spices, Meat, Vegetables",166,8,785
Mexican,Sushi,"Broth, Rice Noodles, Beef",93,3,191
Indian,Curry,"Corn, Meat, Chili",79,6,532
Indian,Dumpling,"Chickpeas, Olive Oil, Tahini",17,1,437
Brazilian,Kebab,"Rice, Vegetables, Egg",38,5,579
Thai,Hummus,"Corn, Meat, Chili",121,7,792
Chinese,Pho,"Rice, Vegetables, Egg",170,6,230
Turkish,Pad Thai,"Flour, Butter, Yeast",140,6,549
Korean,Taco,"Spices, Meat, Vegetables",172,7,909
Vietnamese,Sushi,"Rice, Fish, Seaweed",117,6,886
Spanish,Pizza,"Rice, Fish, Seaweed",118,4,372
Vietnamese,Feijoada,"Flour, Butter, Yeast",29,6,687
Turkish,Pad Thai,"Broth, Rice Noodles, Beef",82,9,276
Indian,Hummus,"Broth, Rice Noodles, Beef",176,2,795
Turkish,Bibimbap,"Tomatoes, Cheese, Olive Oil",13,4,930
French,Baguette,"Rice, Fish, Seaweed",28,6,742
Chinese,Tagine,"Chickpeas, Olive Oil, Tahini",111,8,974
Italian,Pad Thai,"Broth, Rice Noodles, Beef",150,1,148
French,Tagine,"Tomatoes, Cheese, Olive Oil",150,3,666
Spanish,Curry,"Beans, Rice, Pork",95,6,765
Italian,Sushi,"Broth, Rice Noodles, Beef",61,0,454
Moroccan,Moussaka,"Rice, Vegetables, Egg",120,1,811
Italian,Baguette,"Rice, Fish, Seaweed",118,8,407
Mexican,Feijoada,"Rice, Fish, Seaweed",95,9,967
Lebanese,Kebab,"Teff Flour, Vegetables, Lentils",52,6,984
Vietnamese,Curry,"Rice, Vegetables, Egg",51,9,729
Mexican,Feijoada,"Broth, Rice Noodles, Beef",99,6,874
Japanese,Kebab,"Lamb, Spices, Yogurt",124,5,145
Ethiopian,Baguette,"Broth, Rice Noodles, Beef",35,2,401
Greek,Feijoada,"Rice, Vegetables, Egg",160,9,967
Moroccan,Dumpling,"Rice Noodles, Peanuts, Tofu",52,2,507
Greek,Kebab,"Flour, Butter, Yeast",86,1,288
Korean,Paella,"Dough, Pork, Cabbage",165,5,921
Greek,Pad Thai,"Rice Noodles, Peanuts, Tofu",146,3,929
Moroccan,Paella,"Rice, Vegetables, Egg",29,4,228
French,Curry,"Teff Flour, Vegetables, Lentils",48,2,660
Moroccan,Injera,"Corn, Meat, Chili",21,5,636
Chinese,Dumpling,"Corn, Meat, Chili",20,2,365
Japanese,Baguette,"Flour, Butter, Yeast",163,7,217
Turkish,Taco,"Spices, Rice, Vegetables",51,8,563
Indian,Pad Thai,"Chickpeas, Olive Oil, Tahini",164,3,243
Korean,Moussaka,"Rice, Fish, Seaweed",20,8,541
Turkish,Taco,"Lamb, Spices, Yogurt",47,6,299
Japanese,Sushi,"Spices, Rice, Vegetables",107,2,256
Korean,Pizza,"Corn, Meat, Chili",28,6,586
Ethiopian,Curry,"Lamb, Spices, Yogurt",143,0,959
Korean,Feijoada,"Flour, Butter, Yeast",125,2,233
Japanese,Pad Thai,"Spices, Meat, Vegetables",122,5,247
Thai,Dumpling,"Eggplant, Potatoes, Cheese",179,3,435
Brazilian,Kebab,"Flour, Butter, Yeast",74,6,170
Thai,Sushi,"Beans, Rice, Pork",108,2,332
Vietnamese,Pho,"Flour, Butter, Yeast",81,0,433
Moroccan,Taco,"Rice, Fish, Seaweed",61,8,910
Ethiopian,Pad Thai,"Corn, Meat, Chili",127,5,765
French,Paella,"Broth, Rice Noodles, Beef",129,7,189
Greek,Pizza,"Corn, Meat, Chili",16,2,433
Lebanese,Dumpling,"Corn, Meat, Chili",20,7,298
Japanese,Sushi,"Eggplant, Potatoes, Cheese",112,1,260
Korean,Dumpling,"Rice, Fish, Seaweed",70,3,637
Lebanese,Hummus,"Rice, Saffron, Seafood",77,2,220
Lebanese,Bibimbap,"Teff Flour, Vegetables, Lentils",162,9,400
Japanese,Pho,"Rice, Fish, Seaweed",149,0,823
Mexican,Tagine,"Spices, Meat, Vegetables",163,6,674
Chinese,Hummus,"Corn, Meat, Chili",111,9,535
Moroccan,Curry,"Lamb, Spices, Yogurt",119,1,167
Spanish,Hummus,"Tomatoes, Cheese, Olive Oil",149,3,864
Ethiopian,Tagine,"Beans, Rice, Pork",60,8,558
Turkish,Baguette,"Dough, Pork, Cabbage",126,5,613
Brazilian,Hummus,"Rice, Vegetables, Egg",174,7,497
Thai,Taco,"Eggplant, Potatoes, Cheese",55,1,719
Mexican,Pad Thai,"Rice, Fish, Seaweed",62,6,385
Chinese,Bibimbap,"Spices, Rice, Vegetables",97,5,660
Brazilian,Injera,"Rice, Vegetables, Egg",130,8,239
French,Baguette,"Spices, Rice, Vegetables",22,6,829
Turkish,Pad Thai,"Flour, Butter, Yeast",98,0,655
Turkish,Tagine,"Rice Noodles, Peanuts, Tofu",134,7,880
